sku,batch_no,quantity,mfg_date,expiry_date,status,received_date,product_name,supplier,disposed_at,disposed_by,expiry_dt
BB-10445,BN-BB-10445-01,1265.0,2026-06-07,2028-05-21,active,2026-06-19,Streak6 Cartridges,CareWell Distributors,,,2028-05-21
BB-10449,BN-BB-10449-01,3323.0,2026-06-16,,active,2026-06-19,Aluminium Kadai - Induction Base,GrainCo Vijayawada,,,
BB-1045,BN-BB-1045-01,727.0,2026-06-06,2027-06-22,active,2026-06-16,Washing Machine Cleaner,CleanHome Supplies,,,2027-06-22
BB-10453,BN-BB-10453-01,1219.0,2026-06-06,2028-07-28,active,2026-06-16,Daily Use Hair Conditioner - For Men,CareWell Distributors,,,2028-07-28
BB-10455,BN-BB-10455-01,183.0,2025-09-20,2026-08-23,active,2025-09-29,Lakadong Turmeric,CareWell Distributors,,,2026-08-23
BB-10458,BN-BB-10458-01,612.0,2026-06-11,2026-12-19,active,2026-06-16,Green Chilli Sauce,SweetSource Regional,,,2026-12-19
BB-10477,BN-BB-10477-01,328.0,2026-05-31,2027-06-17,active,2026-06-16,Masala Combo - Chicken 15 Gm + Meat 15 Gm + Punjabi Butter Chicken 15 Gm + Garam Masala 40 Gm,GrainCo Vijayawada,,,2027-06-17
BB-10486,BN-BB-10486-01,942.0,2026-06-08,2027-03-25,active,2026-06-16,Instant Noodles Rasa Curry Flavor,SweetSource Regional,,,2027-03-25
BB-10491,BN-BB-10491-01,416.0,2026-06-09,2028-06-05,active,2026-06-17,EDT Spray - Original For Men,CareWell Distributors,,,2028-06-05
BB-10492,BN-BB-10492-01,155.0,2026-06-07,2027-02-22,active,2026-06-16,Summer Berries Syrup - 100% Natural,ChillZone Logistics,,,2027-02-22
BB-10512,BN-BB-10512-01,71.0,2026-06-07,2026-07-09,disposed,2026-06-15,Chicken - Seek Kabab,CareWell Distributors,2026-07-13T04:20:02.823963+00:00,USR002,2026-07-09
BB-10515,BN-BB-10515-01,360.0,2026-06-07,2027-05-28,active,2026-06-17,Premium Baby Medium - 40 Diaper Pants,BabyBase Supplies,,,2027-05-28
BB-10522,BN-BB-10522-01,125.0,2026-06-02,2027-03-16,active,2026-06-17,"Turmeric - Organic, USDA Certified",FestiveWorld Supplies,,,2027-03-16
BB-10526,BN-BB-10526-01,906.0,2026-06-06,2027-07-07,active,2026-06-18,Organics Desi Ghee/Tuppa With Brahmi,GrainCo Vijayawada,,,2027-07-07
BB-10534,BN-BB-10534-01,514.0,2026-06-06,2028-07-26,active,2026-06-16,Fragrance Body Spray For Men (1000 sprays) - Forever,CareWell Distributors,,,2028-07-26
BB-10540,BN-BB-10540-01,658.0,2026-06-04,2028-04-23,active,2026-06-15,Deep Clean Brightening Foaming Cleanser,CareWell Distributors,,,2028-04-23
BB-10545,BN-BB-10545-01,495.0,2026-06-07,2028-08-16,active,2026-06-16,"Body Bath Loofah/Sponge/Scrubber - Dual Sided, Hangable, BB1425, Cream",CareWell Distributors,,,2028-08-16
BB-10546,BN-BB-10546-01,3687.0,2026-06-06,2027-05-17,active,2026-06-20,Organic - Whole Wheat Multi Grain Atta/Godihittu,GrainCo Vijayawada,,,2027-05-17
BB-10549,BN-BB-10549-01,4165.0,2026-06-12,2028-07-05,active,2026-06-19,Acno Fight Pimple Clearing Gel,CareWell Distributors,,,2028-07-05
BB-10592,BN-BB-10592-01,137.0,2026-06-08,2026-08-21,active,2026-06-18,Sweet Bread,DairyBest Krishna,,,2026-08-21
BB-10600,BN-BB-10600-01,1096.0,2026-06-08,2028-06-23,active,2026-06-15,Battery Operator Lady Shaver,CareWell Distributors,,,2028-06-23
BB-10601,BN-BB-10601-01,255.0,2026-06-07,2027-02-14,active,2026-06-19,South African Rooibos Tea,MedLife Wholesale,,,2027-02-14
BB-10628,BN-BB-10628-01,190.0,2026-04-27,2028-03-13,active,2026-05-04,"Sitishield Cambridge N95 Mask – Extra Large, Black",CareWell Distributors,,,2028-03-13
BB-10647,BN-BB-10647-01,1518.0,2026-06-13,2028-04-06,active,2026-06-19,Head To Toe 3-in-1 Wash For Men - Fresh Burst,CareWell Distributors,,,2028-04-06
BB-10657,BN-BB-10657-01,63.0,2026-06-02,2026-07-10,expired,2026-06-16,Chutney Mix,FruitKing South,,,2026-07-10
BB-10663,BN-BB-10663-01,4548.0,2026-06-07,,active,2026-06-19,"100% Melamine Full Plate 10.5"" - Green",ChillZone Logistics,,,
BB-10712,BN-BB-10712-01,2159.0,2026-06-05,2027-06-15,active,2026-06-18,"V5 Pen - Blue, Black & Red",CleanHome Supplies,,,2027-06-15
BB-10713,BN-BB-10713-01,579.0,2026-06-09,2027-03-19,active,2026-06-20,Pizza Seasoning,GrainCo Vijayawada,,,2027-03-19
BB-10722,BN-BB-10722-01,129.0,2026-06-07,2028-07-14,active,2026-06-17,Self Care Foot Moisture Mask,CareWell Distributors,,,2028-07-14
BB-10742,BN-BB-10742-01,1592.0,2026-06-03,,active,2026-06-19,Gas Stove Cleaner - White BB 759,MedLife Wholesale,,,
BB-10752,BN-BB-10752-01,544.0,2026-06-03,,active,2026-06-16,Stroke Tall Juice & Water Glass/Tumbler,ChillZone Logistics,,,
BB-10761,BN-BB-10761-01,415.0,2026-06-06,2027-05-31,active,2026-06-16,Industrial Mop - Long,CleanHome Supplies,,,2027-05-31
BB-10769,BN-BB-10769-01,680.0,2026-06-08,2026-12-02,active,2026-06-20,Roasted Peanuts - Spicy Masala,SweetSource Regional,,,2026-12-02
BB-10770,BN-BB-10770-01,1070.0,2026-06-03,2027-02-22,active,2026-06-16,"Giloy Juice - Supports Immunity, Energy & Digestion",BevCorp India,,,2027-02-22
BB-10775,BN-BB-10775-01,1695.0,2026-06-09,2027-06-07,active,2026-06-18,"Decorative Wax Rose Scented Candles - Bb-1259-1, Red",CleanHome Supplies,,,2027-06-07
BB-1078,BN-BB-1078-01,171.0,2026-06-11,2026-12-05,active,2026-06-16,Noodles - Curry Veg,SweetSource Regional,,,2026-12-05
BB-10780,BN-BB-10780-01,1289.0,2026-06-07,,active,2026-06-17,"Alfa Storage Plastic Container,Transparent - Assorted colour",SeasonProof Gear,,,
BB-10796,BN-BB-10796-01,331.0,2026-06-11,2027-02-14,active,2026-06-17,Sriracha Dip Sauce,DairyBest Krishna,,,2027-02-14
BB-10800,BN-BB-10800-01,0.0,2025-06-13,2026-06-17,disposed,2025-06-27,"Wet Mop - Floor Cleaning Cotton With Steel Stick, Medium",CleanHome Supplies,2026-06-28 20:42:43,USR002,2026-06-17
BB-10809,BN-BB-10809-01,969.0,2026-06-10,2026-11-26,active,2026-06-18,Cookies - Choconut,SweetSource Regional,,,2026-11-26
BB-10823,BN-BB-10823-01,940.0,2026-06-07,2027-03-25,active,2026-06-18,Cocoa Powder,BevCorp India,,,2027-03-25
BB-10825,BN-BB-10825-01,252.0,2026-06-08,2028-06-04,active,2026-06-19,Goldie - Eau De Parfum,CareWell Distributors,,,2028-06-04
BB-10843,BN-BB-10843-01,74.0,2026-06-05,2026-07-10,expired,2026-06-16,Banganapalli Mango,FruitKing South,,,2026-07-10
BB-10863,BN-BB-10863-01,1780.0,2026-06-09,2026-08-23,active,2026-06-18,Sugar Free Vegan Peanut Butter Cookies,DairyBest Krishna,,,2026-08-23
BB-10876,BN-BB-10876-01,530.0,2026-06-08,2026-07-10,expired,2026-06-18,Ridge Gourd - Diced,FruitKing South,,,2026-07-10
BB-10884,BN-BB-10884-01,0.0,2024-06-14,2026-06-24,disposed,2024-06-25,"De-Tangling Comb - 1 Row, 1266",CareWell Distributors,2026-06-28 20:42:50,USR002,2026-06-24
BB-10894,BN-BB-10894-01,488.0,2026-06-12,2027-03-12,active,2026-06-19,100% Spanish Olive Oil,DairyBest Krishna,,,2027-03-12
BB-10899,BN-BB-10899-01,672.0,2026-06-06,2028-06-09,active,2026-06-19,"Skin Fit - Pre-Workout High Performance Sunscreen, SPF 50",CareWell Distributors,,,2028-06-09
BB-10905,BN-BB-10905-01,589.0,2026-06-03,2026-07-10,expired,2026-06-16,Kesar Mango,FruitKing South,,,2026-07-10
BB-10906,BN-BB-10906-01,596.0,2026-06-07,2026-07-09,expired,2026-06-16,Seer Fish,FruitKing South,,,2026-07-09
BB-10918,BN-BB-10918-01,1798.0,2026-06-09,2028-05-06,active,2026-06-18,Sandalwood & Saffron Facial Ubtan Pack - Soothing & After Glow,CareWell Distributors,,,2028-05-06
BB-10922,BN-BB-10922-01,803.0,2026-06-06,2026-11-17,active,2026-06-16,Go Nutty Snack Bar,SweetSource Regional,,,2026-11-17
BB-10923,BN-BB-10923-01,216.0,2026-06-01,2027-03-13,active,2026-06-18,Green Tea Lemon,BakeMaster Artisans,,,2027-03-13
BB-10928,BN-BB-10928-01,1198.0,2026-06-12,2027-07-14,active,2026-06-19,Mug 178 Frosty Deluxe Mug - Blue,CleanHome Supplies,,,2027-07-14
BB-10937,BN-BB-10937-01,277.0,2026-06-12,2028-08-22,active,2026-06-20,Whey Protein Powder - Vanilla,CareWell Distributors,,,2028-08-22
BB-10938,BN-BB-10938-01,1464.0,2026-06-07,2027-06-08,active,2026-06-17,Scrub Pad,CleanHome Supplies,,,2027-06-08
BB-10944,BN-BB-10944-01,1409.0,2026-06-03,2027-03-04,active,2026-06-18,Muesli - Quinoa & Almond Delight,CleanHome Supplies,,,2027-03-04
BB-10949,BN-BB-10949-01,2505.0,2026-06-07,2026-12-06,active,2026-06-16,Munch Crisp-Pop Chocolate Coated Crunchy Wafer,SweetSource Regional,,,2026-12-06
BB-10957,BN-BB-10957-01,456.0,2026-06-14,2026-12-29,active,2026-06-20,Chicken Garlic Sausages,SweetSource Regional,,,2026-12-29
BB-10958,BN-BB-10958-01,0.0,2024-06-14,2026-06-28,disposed,2024-06-21,Pain Relief Spray - For Quick Action & Lasting Relief From Swelling,CareWell Distributors,2026-06-28 20:42:57,USR002,2026-06-28
BB-10962,BN-BB-10962-01,1714.0,2026-06-05,2028-07-14,active,2026-06-19,Travel Pro Liven Up Pack,CareWell Distributors,,,2028-07-14
BB-10964,BN-BB-10964-01,161.0,2026-06-06,,active,2026-06-19,Juice/Milk Mugs,FestiveWorld Supplies,,,
BB-10972,BN-BB-10972-01,1530.0,2026-06-09,2027-06-24,active,2026-06-20,"Bathroom Cleaner Liquid - Lemon 1 L + Toilet Cleaner - Bleach, White & Shine - 500 ml",CleanHome Supplies,,,2027-06-24
BB-10980,BN-BB-10980-01,1649.0,2026-06-04,2027-07-07,active,2026-06-18,Air Freshener - Jasmine,CleanHome Supplies,,,2027-07-07
BB-10984,BN-BB-10984-01,379.0,2026-06-05,,active,2026-06-16,"Tejas LED Bulb - 5 Watt, White, Cool Day, B22",OilTrade AP,,,
BB-10992,BN-BB-10992-01,403.0,2024-06-04,2026-08-26,active,2024-06-19,Organic Pitta Tea,CareWell Distributors,,,2026-08-26
BB-10995,BN-BB-10995-01,237.0,2026-06-06,2026-11-23,active,2026-06-19,Organic Kesari Bath - Little Millet,SweetSource Regional,,,2026-11-23
BB-10996,BN-BB-10996-01,2862.0,2026-06-02,2027-05-11,active,2026-06-17,For Moms - Nipple Care Butter,BabyBase Supplies,,,2027-05-11
BB-10997,BN-BB-10997-01,439.0,2026-06-07,2027-02-10,active,2026-06-20,Dill Tzatziki,PaperEdge Stationery,,,2027-02-10
BB-110,BN-BB-110-01,3415.0,2026-06-09,2027-07-07,active,2026-06-19,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",BabyBase Supplies,,,2027-07-07
BB-11003,BN-BB-11003-01,534.0,2026-06-04,2027-02-17,active,2026-06-17,Spirulina - Powder,DairyBest Krishna,,,2027-02-17
BB-11020,BN-BB-11020-01,251.0,2026-06-10,2027-03-18,active,2026-06-19,Buckwheat Seeds,OilTrade AP,,,2027-03-18
BB-11046,BN-BB-11046-01,897.0,2026-06-12,2027-06-28,active,2026-06-19,Floor Twist Mop With Stick & Microfibre Refill - A130073,CleanHome Supplies,,,2027-06-28
BB-11047,BN-BB-11047-01,1297.0,2026-06-01,2026-12-11,active,2026-06-15,Kappa Puzhukku,SweetSource Regional,,,2026-12-11
BB-11054,BN-BB-11054-01,267.0,2026-06-03,2027-02-23,active,2026-06-17,Pasta Sauce - Garden Combination,FruitKing South,,,2027-02-23
BB-1107,BN-BB-1107-01,355.0,2026-06-08,2026-12-23,active,2026-06-19,Pickle - Ginger,SweetSource Regional,,,2026-12-23
BB-11090,BN-BB-11090-01,400.0,2026-06-09,2027-03-26,active,2026-06-17,Ice Cream - Fig Walnut,GrainCo Vijayawada,,,2027-03-26
BB-11097,BN-BB-11097-01,3999.0,2026-06-09,2028-07-31,active,2026-06-17,Kumkumadi Oil,CareWell Distributors,,,2028-07-31
BB-1112,BN-BB-1112-01,1575.0,2026-06-03,2028-06-13,active,2026-06-19,"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",CareWell Distributors,,,2028-06-13
BB-11140,BN-BB-11140-01,171.0,2025-06-16,2026-08-22,active,2025-06-21,Refined - Sunflower Oil,GrainCo Vijayawada,,,2026-08-22
BB-1115,BN-BB-1115-01,121.0,2026-06-04,2027-03-18,active,2026-06-18,Water,SweetSource Regional,,,2027-03-18
BB-11170,BN-BB-11170-01,392.0,2026-06-08,2026-12-08,active,2026-06-17,Kesari Halwa,SweetSource Regional,,,2026-12-08
BB-11177,BN-BB-11177-01,129.0,2026-06-05,,active,2026-06-16,Svachh Nakshtra Steel Inner Lid Pressure Cooker (20257),CareWell Distributors,,,
BB-11179,BN-BB-11179-01,1620.0,2026-06-04,2028-04-08,active,2026-06-16,Ultrathin Sensitive Toothbrush - Black,CareWell Distributors,,,2028-04-08
BB-11181,BN-BB-11181-01,942.0,2026-06-11,2027-03-09,active,2026-06-20,Juice - Pineapple,CleanHome Supplies,,,2027-03-09
BB-11197,BN-BB-11197-01,1565.0,2026-06-08,2028-07-14,active,2026-06-18,Ultrathin Sensitive Toothbrush,CareWell Distributors,,,2028-07-14
BB-11208,BN-BB-11208-01,3662.0,2026-06-01,2027-05-25,active,2026-06-16,A-1 Agmark Ghee/Tuppa,GrainCo Vijayawada,,,2027-05-25
BB-11212,BN-BB-11212-01,14.0,2025-06-10,2026-08-24,active,2025-06-22,Powder - Sambar,GrainCo Vijayawada,,,2026-08-24
BB-11216,BN-BB-11216-01,288.0,2024-06-18,2026-10-02,active,2024-06-29,DC 4 U Exclusive For Men,CareWell Distributors,,,2026-10-02
BB-11230,BN-BB-11230-01,63.0,2026-06-04,2026-08-22,active,2026-06-18,Ragi Loaf,DairyBest Krishna,,,2026-08-22
BB-11233,BN-BB-11233-01,923.0,2026-06-09,2028-07-03,active,2026-06-17,"Deltoid Turbo Face Masks In Grey Mesh With Pink, Blue & Green Bindings - Assorted, 3C2007-XL",CareWell Distributors,,,2028-07-03
BB-11239,BN-BB-11239-01,373.0,2026-06-10,2028-08-21,active,2026-06-20,Soap Case - Riviera,CareWell Distributors,,,2028-08-21
BB-11243,BN-BB-11243-01,100.0,2025-06-22,,active,2025-07-01,Plastic Dustbin - Peach,CleanHome Supplies,,,
BB-11248,BN-BB-11248-01,2244.0,2026-06-01,2027-05-31,active,2026-06-16,Mumma's Boy Pencil,CleanHome Supplies,,,2027-05-31
BB-11254,BN-BB-11254-01,402.0,2026-06-07,2027-05-29,active,2026-06-19,Naturals Anti-Mosquito Skin Spray,CleanHome Supplies,,,2027-05-29
BB-11265,BN-BB-11265-01,5597.0,2026-06-09,,active,2026-06-16,"Steel Rice Serving Spoon - Medium, Classic Diana Series, BBST37",DairyBest Krishna,,,
BB-11269,BN-BB-11269-01,2075.0,2026-06-08,2028-07-16,active,2026-06-15,Nutrition Plus Health Supplement - Multi Vitamin,CareWell Distributors,,,2028-07-16
BB-11287,BN-BB-11287-01,363.0,2026-06-04,2026-11-24,active,2026-06-18,Aloo Tikki,SweetSource Regional,,,2026-11-24
BB-11292,BN-BB-11292-01,516.0,2026-06-07,2027-03-28,active,2026-06-19,"Confeito Vermicelli Combo, Sprinkles",FruitKing South,,,2027-03-28
BB-11295,BN-BB-11295-01,237.0,2026-06-09,2026-12-23,active,2026-06-19,Punjabi Masala Papad,SweetSource Regional,,,2026-12-23
BB-11322,BN-BB-11322-01,757.0,2026-06-10,,active,2026-06-17,Dazzle Livid Lilac Dinner Set - White,SweetSource Regional,,,
BB-11323,BN-BB-11323-01,22.0,2026-06-09,2027-07-02,active,2026-06-20,Baby Care Collection - with Organic Cotton Bib & Baby Comb,BabyBase Supplies,,,2027-07-02
BB-11325,BN-BB-11325-01,4709.0,2026-06-05,,active,2026-06-20,Arcada White PVC Handle - Sieve (7cm),FreshFarm Veg Market,,,
BB-11329,BN-BB-11329-01,320.0,2026-06-10,2027-03-20,active,2026-06-19,Olive Oil - Extra Virgin,BevCorp India,,,2027-03-20
BB-1133,BN-BB-1133-01,398.0,2026-06-04,2028-04-20,active,2026-06-15,Diamond - Shine & Glow Facial Kit,CareWell Distributors,,,2028-04-20
BB-11331,BN-BB-11331-01,944.0,2026-06-10,2027-06-22,active,2026-06-19,Roasted Flax Seeds,GrainCo Vijayawada,,,2027-06-22
BB-11338,BN-BB-11338-01,2638.0,2026-05-30,2026-12-04,active,2026-06-15,Veg Hakka Noodles + Chowmein Hakka Noodles Masala,SweetSource Regional,,,2026-12-04
BB-11347,BN-BB-11347-01,116.0,2026-06-05,2026-11-20,active,2026-06-15,Instant Noodles - 2 Minute Special Masala,SweetSource Regional,,,2026-11-20
BB-11357,BN-BB-11357-01,480.0,2026-06-04,2027-06-02,active,2026-06-17,"Brass Deepa Matki - Round, No.2",CleanHome Supplies,,,2027-06-02
BB-11359,BN-BB-11359-01,1568.0,2026-06-10,2027-07-12,active,2026-06-18,Mini Soya Chunks,GrainCo Vijayawada,,,2027-07-12
BB-11365,BN-BB-11365-01,480.0,2026-06-10,2027-06-23,active,2026-06-15,Rock Salt/Uppu - Natural,GrainCo Vijayawada,,,2027-06-23
BB-11388,BN-BB-11388-01,496.0,2026-05-29,2027-04-24,active,2026-06-15,Herbal Fabric Roll On With Citronella & Lemongrass Oil,CleanHome Supplies,,,2027-04-24
BB-11391,BN-BB-11391-01,1376.0,2026-06-03,2027-05-24,active,2026-06-16,Bleaching Powder - Strong,CleanHome Supplies,,,2027-05-24
BB-11409,BN-BB-11409-01,289.0,2026-06-12,2027-05-06,active,2026-06-19,Coriander Powder,GrainCo Vijayawada,,,2027-05-06
BB-1141,BN-BB-1141-01,4725.0,2026-06-10,2028-03-31,active,2026-06-15,"Deltoid Lite Face Masks In Royal Blue, Grey & Sky Blue Knit Fabrics With Bindings - Assorted, 3C2002-XL",CareWell Distributors,,,2028-03-31
BB-11415,BN-BB-11415-01,3561.0,2026-06-07,2028-03-29,active,2026-06-19,Pain Relief Spray,CareWell Distributors,,,2028-03-29
BB-1143,BN-BB-1143-01,410.0,2026-06-04,2028-04-18,active,2026-06-17,Total Advanced Health Anticavity Toothpaste,CareWell Distributors,,,2028-04-18
BB-11438,BN-BB-11438-01,694.0,2026-06-12,2027-07-11,active,2026-06-19,Organic - Fennel,GrainCo Vijayawada,,,2027-07-11
BB-11451,BN-BB-11451-01,280.0,2026-06-10,2027-07-05,active,2026-06-17,Roasted Rava,GrainCo Vijayawada,,,2027-07-05
BB-11456,BN-BB-11456-01,1342.0,2026-06-13,2028-06-21,active,2026-06-17,Tea Tree Facial Therapy,CareWell Distributors,,,2028-06-21
BB-11474,BN-BB-11474-01,1157.0,2026-06-12,2026-12-26,active,2026-06-20,Tiramisu - Centre Filled Bar Infused With Coffee & Mascarpone Cheese,SweetSource Regional,,,2026-12-26
BB-1148,BN-BB-1148-01,209.0,2026-06-02,2027-02-18,active,2026-06-17,Infusion Bags - The Original Tulsi Ginger,BevCorp India,,,2027-02-18
BB-11485,BN-BB-11485-01,1361.0,2026-06-09,2027-05-17,active,2026-06-16,Appam Idiyappam Pathiri,GrainCo Vijayawada,,,2027-05-17
BB-115,BN-BB-115-01,4052.0,2026-06-05,2028-07-11,active,2026-06-15,Black Eau De Toilette,CareWell Distributors,,,2028-07-11
BB-11516,BN-BB-11516-01,900.0,2026-06-08,2027-03-30,active,2026-06-19,Jamun Drink,BevCorp India,,,2027-03-30
BB-11528,BN-BB-11528-01,1581.0,2026-06-08,2027-06-11,active,2026-06-17,Disinfecting Wipes Fresh Scent,CleanHome Supplies,,,2027-06-11
BB-11562,BN-BB-11562-01,336.0,2026-06-05,2027-05-18,active,2026-06-15,Natural Coconut Coir Scrub & Probiotic Dishwash Bar - Exclusive Combo,CleanHome Supplies,,,2027-05-18
