InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
10017,GR008,Wheat Flour 1kg,5,2025-02-20 00:06:00,55,4652
10017,GR009,Butter 100g,5,2025-02-20 00:06:00,60,4652
10017,GR001,Milk 1L,5,2025-02-20 00:06:00,60,4652
10018,GR004,Basmati Rice 1kg,4,2025-03-27 22:34:00,120,3180
10018,GR014,Tomatoes 1kg,5,2025-03-27 22:34:00,40,3180
10018,GR009,Butter 100g,3,2025-03-27 22:34:00,60,3180
10019,GR005,Sugar 1kg,1,2025-04-30 11:43:00,50,1217
10020,GR008,Wheat Flour 1kg,6,2025-06-28 14:05:00,55,2247
10020,GR004,Basmati Rice 1kg,7,2025-06-28 14:05:00,120,2247
10020,GR003,Eggs Pack (12),3,2025-06-28 14:05:00,90,2247
10020,GR006,Sunflower Oil 1L,8,2025-06-28 14:05:00,160,2247
10021,GR002,Bread,3,2025-06-10 12:12:00,40,2705
10021,GR013,Onions 1kg,7,2025-06-10 12:12:00,35,2705
10021,GR001,Milk 1L,3,2025-06-10 12:12:00,60,2705
10022,GR001,Milk 1L,1,2025-01-18 22:46:00,60,2801
10022,GR012,Potatoes 1kg,3,2025-01-18 22:46:00,30,2801
10022,GR010,Yogurt 200g,3,2025-01-18 22:46:00,25,2801
10023,GR001,Milk 1L,6,2025-01-26 07:02:00,60,1447
10023,GR014,Tomatoes 1kg,2,2025-01-26 07:02:00,40,1447
10023,GR004,Basmati Rice 1kg,4,2025-01-26 07:02:00,120,1447
10023,GR005,Sugar 1kg,1,2025-01-26 07:02:00,50,1447
10024,GR009,Butter 100g,7,2025-06-17 11:25:00,60,2588
10024,GR002,Bread,8,2025-06-17 11:25:00,40,2588
10024,GR006,Sunflower Oil 1L,1,2025-06-17 11:25:00,160,2588
10024,GR015,Salt 1kg,7,2025-06-17 11:25:00,20,2588
10025,GR008,Wheat Flour 1kg,4,2025-02-18 08:14:00,55,4926
10025,GR010,Yogurt 200g,7,2025-02-18 08:14:00,25,4926
10025,GR013,Onions 1kg,8,2025-02-18 08:14:00,35,4926
10026,GR015,Salt 1kg,3,2025-05-07 18:22:00,20,4063
10026,GR003,Eggs Pack (12),1,2025-05-07 18:22:00,90,4063
10026,GR007,Tea Powder 500g,8,2025-05-07 18:22:00,140,4063
10026,GR006,Sunflower Oil 1L,4,2025-05-07 18:22:00,160,4063
10026,GR010,Yogurt 200g,5,2025-05-07 18:22:00,25,4063
10026,GR014,Tomatoes 1kg,5,2025-05-07 18:22:00,40,4063
10027,GR014,Tomatoes 1kg,2,2025-04-30 00:33:00,40,1384
10027,GR013,Onions 1kg,6,2025-04-30 00:33:00,35,1384
10027,GR001,Milk 1L,4,2025-04-30 00:33:00,60,1384
10027,GR004,Basmati Rice 1kg,3,2025-04-30 00:33:00,120,1384
10027,GR006,Sunflower Oil 1L,2,2025-04-30 00:33:00,160,1384
10027,GR008,Wheat Flour 1kg,6,2025-04-30 00:33:00,55,1384
10028,GR013,Onions 1kg,6,2025-05-07 09:12:00,35,1787
10029,GR002,Bread,7,2025-05-28 15:10:00,40,2607
10029,GR008,Wheat Flour 1kg,3,2025-05-28 15:10:00,55,2607
10029,GR012,Potatoes 1kg,3,2025-05-28 15:10:00,30,2607
10029,GR015,Salt 1kg,4,2025-05-28 15:10:00,20,2607
10029,GR010,Yogurt 200g,3,2025-05-28 15:10:00,25,2607
10030,GR005,Sugar 1kg,8,2025-07-03 12:44:00,50,1761
10030,GR012,Potatoes 1kg,1,2025-07-03 12:44:00,30,1761
10030,GR002,Bread,5,2025-07-03 12:44:00,40,1761
10030,GR010,Yogurt 200g,1,2025-07-03 12:44:00,25,1761
10030,GR008,Wheat Flour 1kg,1,2025-07-03 12:44:00,55,1761
10030,GR011,Bananas 1 dozen,6,2025-07-03 12:44:00,50,1761
10031,GR002,Bread,5,2025-03-07 17:42:00,40,2078
10031,GR005,Sugar 1kg,3,2025-03-07 17:42:00,50,2078
10031,GR014,Tomatoes 1kg,1,2025-03-07 17:42:00,40,2078
10032,GR010,Yogurt 200g,4,2025-07-18 21:27:00,25,2584
10032,GR002,Bread,1,2025-07-18 21:27:00,40,2584
10032,GR006,Sunflower Oil 1L,4,2025-07-18 21:27:00,160,2584
10032,GR014,Tomatoes 1kg,5,2025-07-18 21:27:00,40,2584
10032,GR004,Basmati Rice 1kg,6,2025-07-18 21:27:00,120,2584
10033,GR007,Tea Powder 500g,5,2025-02-28 16:32:00,140,1450
10033,GR008,Wheat Flour 1kg,3,2025-02-28 16:32:00,55,1450
10033,GR015,Salt 1kg,2,2025-02-28 16:32:00,20,1450
10033,GR004,Basmati Rice 1kg,7,2025-02-28 16:32:00,120,1450
10033,GR005,Sugar 1kg,1,2025-02-28 16:32:00,50,1450
10033,GR006,Sunflower Oil 1L,2,2025-02-28 16:32:00,160,1450
10034,GR012,Potatoes 1kg,1,2025-06-28 11:10:00,30,2546
10034,GR007,Tea Powder 500g,4,2025-06-28 11:10:00,140,2546
10034,GR010,Yogurt 200g,6,2025-06-28 11:10:00,25,2546
10035,GR005,Sugar 1kg,8,2025-04-12 15:02:00,50,1094
10036,GR001,Milk 1L,5,2025-02-13 11:02:00,60,1066
10037,GR005,Sugar 1kg,3,2025-06-18 02:11:00,50,4354
10037,GR008,Wheat Flour 1kg,6,2025-06-18 02:11:00,55,4354
10037,GR004,Basmati Rice 1kg,2,2025-06-18 02:11:00,120,4354
10038,GR012,Potatoes 1kg,8,2025-06-04 10:30:00,30,4617
10038,GR001,Milk 1L,7,2025-06-04 10:30:00,60,4617
10039,GR008,Wheat Flour 1kg,4,2025-03-16 01:57:00,55,2146
10039,GR006,Sunflower Oil 1L,2,2025-03-16 01:57:00,160,2146
10039,GR004,Basmati Rice 1kg,1,2025-03-16 01:57:00,120,2146
10039,GR001,Milk 1L,5,2025-03-16 01:57:00,60,2146
10040,GR007,Tea Powder 500g,1,2025-05-17 09:40:00,140,3869
10040,GR014,Tomatoes 1kg,7,2025-05-17 09:40:00,40,3869
10040,GR008,Wheat Flour 1kg,5,2025-05-17 09:40:00,55,3869
10040,GR009,Butter 100g,2,2025-05-17 09:40:00,60,3869
10041,GR012,Potatoes 1kg,5,2025-07-17 07:06:00,30,3827
10041,GR011,Bananas 1 dozen,5,2025-07-17 07:06:00,50,3827
10041,GR014,Tomatoes 1kg,7,2025-07-17 07:06:00,40,3827
10041,GR001,Milk 1L,5,2025-07-17 07:06:00,60,3827
10042,GR015,Salt 1kg,4,2025-01-30 15:38:00,20,2313
10042,GR013,Onions 1kg,4,2025-01-30 15:38:00,35,2313
10042,GR005,Sugar 1kg,1,2025-01-30 15:38:00,50,2313
10042,GR011,Bananas 1 dozen,2,2025-01-30 15:38:00,50,2313
10042,GR006,Sunflower Oil 1L,5,2025-01-30 15:38:00,160,2313
10043,GR013,Onions 1kg,3,2025-01-12 19:17:00,35,2907
10043,GR007,Tea Powder 500g,5,2025-01-12 19:17:00,140,2907
10043,GR005,Sugar 1kg,5,2025-01-12 19:17:00,50,2907
10043,GR011,Bananas 1 dozen,7,2025-01-12 19:17:00,50,2907
10044,GR005,Sugar 1kg,1,2025-04-01 00:16:00,50,4099
10044,GR007,Tea Powder 500g,2,2025-04-01 00:16:00,140,4099
10045,GR011,Bananas 1 dozen,2,2025-06-08 05:08:00,50,1388
10045,GR010,Yogurt 200g,2,2025-06-08 05:08:00,25,1388
10045,GR004,Basmati Rice 1kg,4,2025-06-08 05:08:00,120,1388
10045,GR001,Milk 1L,1,2025-06-08 05:08:00,60,1388
10045,GR005,Sugar 1kg,8,2025-06-08 05:08:00,50,1388
10046,GR009,Butter 100g,5,2025-02-18 15:52:00,60,3888
10046,GR003,Eggs Pack (12),6,2025-02-18 15:52:00,90,3888
10047,GR001,Milk 1L,2,2025-04-18 12:32:00,60,4717
10048,GR013,Onions 1kg,6,2025-03-15 22:13:00,35,3315
10048,GR008,Wheat Flour 1kg,8,2025-03-15 22:13:00,55,3315
10048,GR004,Basmati Rice 1kg,6,2025-03-15 22:13:00,120,3315
10049,GR006,Sunflower Oil 1L,1,2025-02-19 09:38:00,160,4622
10049,GR002,Bread,5,2025-02-19 09:38:00,40,4622
10049,GR015,Salt 1kg,8,2025-02-19 09:38:00,20,4622
10049,GR007,Tea Powder 500g,4,2025-02-19 09:38:00,140,4622
10050,GR006,Sunflower Oil 1L,2,2025-03-24 16:37:00,160,1131
10050,GR008,Wheat Flour 1kg,8,2025-03-24 16:37:00,55,1131
10050,GR009,Butter 100g,6,2025-03-24 16:37:00,60,1131
10050,GR010,Yogurt 200g,5,2025-03-24 16:37:00,25,1131
10050,GR003,Eggs Pack (12),1,2025-03-24 16:37:00,90,1131
10050,GR005,Sugar 1kg,7,2025-03-24 16:37:00,50,1131
10051,GR014,Tomatoes 1kg,7,2025-03-09 13:24:00,40,4271
10051,GR006,Sunflower Oil 1L,7,2025-03-09 13:24:00,160,4271
10051,GR001,Milk 1L,5,2025-03-09 13:24:00,60,4271
10051,GR010,Yogurt 200g,7,2025-03-09 13:24:00,25,4271
10052,GR015,Salt 1kg,5,2025-01-03 21:37:00,20,1787
10052,GR003,Eggs Pack (12),4,2025-01-03 21:37:00,90,1787
10052,GR012,Potatoes 1kg,6,2025-01-03 21:37:00,30,1787
10052,GR013,Onions 1kg,3,2025-01-03 21:37:00,35,1787
10052,GR004,Basmati Rice 1kg,2,2025-01-03 21:37:00,120,1787
10053,GR013,Onions 1kg,1,2025-03-03 19:57:00,35,3524
10053,GR014,Tomatoes 1kg,8,2025-03-03 19:57:00,40,3524
10053,GR008,Wheat Flour 1kg,8,2025-03-03 19:57:00,55,3524
10053,GR011,Bananas 1 dozen,3,2025-03-03 19:57:00,50,3524
10053,GR007,Tea Powder 500g,5,2025-03-03 19:57:00,140,3524
10053,GR002,Bread,7,2025-03-03 19:57:00,40,3524
10054,GR003,Eggs Pack (12),4,2025-01-23 20:32:00,90,3356
10054,GR005,Sugar 1kg,1,2025-01-23 20:32:00,50,3356
10055,GR001,Milk 1L,3,2025-04-16 17:37:00,60,1813
10055,GR011,Bananas 1 dozen,5,2025-04-16 17:37:00,50,1813
10055,GR014,Tomatoes 1kg,6,2025-04-16 17:37:00,40,1813
10055,GR003,Eggs Pack (12),4,2025-04-16 17:37:00,90,1813
10055,GR010,Yogurt 200g,8,2025-04-16 17:37:00,25,1813
10055,GR008,Wheat Flour 1kg,5,2025-04-16 17:37:00,55,1813
10056,GR009,Butter 100g,5,2025-06-13 12:46:00,60,2114
10056,GR007,Tea Powder 500g,1,2025-06-13 12:46:00,140,2114
10056,GR011,Bananas 1 dozen,7,2025-06-13 12:46:00,50,2114
10056,GR004,Basmati Rice 1kg,8,2025-06-13 12:46:00,120,2114
10056,GR010,Yogurt 200g,6,2025-06-13 12:46:00,25,2114
10057,GR001,Milk 1L,8,2025-03-05 03:45:00,60,1641
10057,GR013,Onions 1kg,8,2025-03-05 03:45:00,35,1641
10057,GR003,Eggs Pack (12),4,2025-03-05 03:45:00,90,1641
10057,GR008,Wheat Flour 1kg,5,2025-03-05 03:45:00,55,1641
10057,GR009,Butter 100g,1,2025-03-05 03:45:00,60,1641
10058,GR013,Onions 1kg,6,2025-02-16 10:19:00,35,4345
10058,GR002,Bread,6,2025-02-16 10:19:00,40,4345
10058,GR003,Eggs Pack (12),6,2025-02-16 10:19:00,90,4345
10058,GR008,Wheat Flour 1kg,2,2025-02-16 10:19:00,55,4345
10058,GR015,Salt 1kg,4,2025-02-16 10:19:00,20,4345
10058,GR014,Tomatoes 1kg,6,2025-02-16 10:19:00,40,4345
10059,GR005,Sugar 1kg,7,2025-02-15 07:31:00,50,1995
10059,GR006,Sunflower Oil 1L,1,2025-02-15 07:31:00,160,1995
10060,GR005,Sugar 1kg,5,2025-04-19 16:56:00,50,2313
10060,GR010,Yogurt 200g,2,2025-04-19 16:56:00,25,2313
10060,GR006,Sunflower Oil 1L,5,2025-04-19 16:56:00,160,2313
10060,GR004,Basmati Rice 1kg,7,2025-04-19 16:56:00,120,2313
10060,GR003,Eggs Pack (12),7,2025-04-19 16:56:00,90,2313
10060,GR001,Milk 1L,5,2025-04-19 16:56:00,60,2313
10061,GR003,Eggs Pack (12),3,2025-01-27 16:51:00,90,2362
10061,GR011,Bananas 1 dozen,2,2025-01-27 16:51:00,50,2362
10061,GR015,Salt 1kg,6,2025-01-27 16:51:00,20,2362
10061,GR005,Sugar 1kg,1,2025-01-27 16:51:00,50,2362
10062,GR008,Wheat Flour 1kg,6,2025-04-27 07:13:00,55,3414
10063,GR010,Yogurt 200g,3,2025-01-09 07:32:00,25,4657
10063,GR008,Wheat Flour 1kg,6,2025-01-09 07:32:00,55,4657
10064,GR001,Milk 1L,1,2025-04-10 14:13:00,60,1958
10064,GR013,Onions 1kg,8,2025-04-10 14:13:00,35,1958
10064,GR002,Bread,6,2025-04-10 14:13:00,40,1958
10065,GR004,Basmati Rice 1kg,7,2025-05-02 10:16:00,120,2811
10065,GR001,Milk 1L,2,2025-05-02 10:16:00,60,2811
10066,GR012,Potatoes 1kg,4,2025-03-04 07:19:00,30,2993
10067,GR005,Sugar 1kg,5,2025-03-25 11:01:00,50,1388
10068,GR014,Tomatoes 1kg,1,2025-04-09 05:59:00,40,4953
10068,GR011,Bananas 1 dozen,7,2025-04-09 05:59:00,50,4953
10068,GR003,Eggs Pack (12),3,2025-04-09 05:59:00,90,4953
10068,GR013,Onions 1kg,2,2025-04-09 05:59:00,35,4953
10069,GR008,Wheat Flour 1kg,1,2025-01-05 16:58:00,55,3601
10069,GR014,Tomatoes 1kg,1,2025-01-05 16:58:00,40,3601
10069,GR012,Potatoes 1kg,3,2025-01-05 16:58:00,30,3601
10069,GR006,Sunflower Oil 1L,5,2025-01-05 16:58:00,160,3601
10069,GR013,Onions 1kg,4,2025-01-05 16:58:00,35,3601
10070,GR015,Salt 1kg,7,2025-05-09 11:01:00,20,2340
10071,GR009,Butter 100g,1,2025-04-28 21:08:00,60,1667
10071,GR011,Bananas 1 dozen,6,2025-04-28 21:08:00,50,1667
10071,GR004,Basmati Rice 1kg,1,2025-04-28 21:08:00,120,1667
10072,GR011,Bananas 1 dozen,8,2025-06-17 17:08:00,50,4340
10072,GR005,Sugar 1kg,5,2025-06-17 17:08:00,50,4340
10072,GR012,Potatoes 1kg,7,2025-06-17 17:08:00,30,4340
10072,GR014,Tomatoes 1kg,1,2025-06-17 17:08:00,40,4340
10072,GR003,Eggs Pack (12),1,2025-06-17 17:08:00,90,4340
10072,GR008,Wheat Flour 1kg,3,2025-06-17 17:08:00,55,4340
10073,GR008,Wheat Flour 1kg,3,2025-02-14 09:41:00,55,4407
10073,GR013,Onions 1kg,6,2025-02-14 09:41:00,35,4407
10073,GR004,Basmati Rice 1kg,5,2025-02-14 09:41:00,120,4407
10074,GR011,Bananas 1 dozen,8,2025-03-05 16:12:00,50,2109
10074,GR001,Milk 1L,4,2025-03-05 16:12:00,60,2109
10074,GR005,Sugar 1kg,2,2025-03-05 16:12:00,50,2109
10074,GR007,Tea Powder 500g,2,2025-03-05 16:12:00,140,2109
10074,GR014,Tomatoes 1kg,8,2025-03-05 16:12:00,40,2109
10074,GR003,Eggs Pack (12),2,2025-03-05 16:12:00,90,2109
10075,GR009,Butter 100g,3,2025-04-03 00:29:00,60,4723
10075,GR012,Potatoes 1kg,7,2025-04-03 00:29:00,30,4723
10075,GR013,Onions 1kg,5,2025-04-03 00:29:00,35,4723
10075,GR011,Bananas 1 dozen,5,2025-04-03 00:29:00,50,4723
10075,GR010,Yogurt 200g,7,2025-04-03 00:29:00,25,4723
10075,GR008,Wheat Flour 1kg,7,2025-04-03 00:29:00,55,4723
10076,GR011,Bananas 1 dozen,8,2025-04-24 04:19:00,50,2730
10076,GR009,Butter 100g,3,2025-04-24 04:19:00,60,2730
10076,GR004,Basmati Rice 1kg,4,2025-04-24 04:19:00,120,2730
10076,GR002,Bread,1,2025-04-24 04:19:00,40,2730
10076,GR005,Sugar 1kg,5,2025-04-24 04:19:00,50,2730
10076,GR010,Yogurt 200g,8,2025-04-24 04:19:00,25,2730
10077,GR004,Basmati Rice 1kg,1,2025-03-10 04:48:00,120,4952
10077,GR011,Bananas 1 dozen,5,2025-03-10 04:48:00,50,4952
10077,GR001,Milk 1L,2,2025-03-10 04:48:00,60,4952
10077,GR012,Potatoes 1kg,7,2025-03-10 04:48:00,30,4952
10077,GR002,Bread,3,2025-03-10 04:48:00,40,4952
10078,GR003,Eggs Pack (12),1,2025-03-20 18:29:00,90,1572
10078,GR010,Yogurt 200g,2,2025-03-20 18:29:00,25,1572
10079,GR009,Butter 100g,5,2025-02-22 15:56:00,60,2919
10079,GR004,Basmati Rice 1kg,2,2025-02-22 15:56:00,120,2919
10079,GR001,Milk 1L,7,2025-02-22 15:56:00,60,2919
10079,GR007,Tea Powder 500g,6,2025-02-22 15:56:00,140,2919
10079,GR012,Potatoes 1kg,5,2025-02-22 15:56:00,30,2919
10079,GR014,Tomatoes 1kg,3,2025-02-22 15:56:00,40,2919
10080,GR003,Eggs Pack (12),4,2025-03-09 07:19:00,90,3869
10080,GR004,Basmati Rice 1kg,7,2025-03-09 07:19:00,120,3869
10081,GR011,Bananas 1 dozen,2,2025-07-08 02:30:00,50,2465
10081,GR001,Milk 1L,6,2025-07-08 02:30:00,60,2465
10081,GR004,Basmati Rice 1kg,5,2025-07-08 02:30:00,120,2465
10081,GR005,Sugar 1kg,7,2025-07-08 02:30:00,50,2465
10082,GR004,Basmati Rice 1kg,8,2025-03-21 01:29:00,120,2302
10083,GR006,Sunflower Oil 1L,6,2025-04-03 00:02:00,160,3875
10083,GR004,Basmati Rice 1kg,5,2025-04-03 00:02:00,120,3875
10083,GR001,Milk 1L,8,2025-04-03 00:02:00,60,3875
10083,GR009,Butter 100g,4,2025-04-03 00:02:00,60,3875
10084,GR008,Wheat Flour 1kg,5,2025-06-23 00:27:00,55,1572
10084,GR009,Butter 100g,6,2025-06-23 00:27:00,60,1572
10084,GR015,Salt 1kg,2,2025-06-23 00:27:00,20,1572
10084,GR005,Sugar 1kg,1,2025-06-23 00:27:00,50,1572
10084,GR007,Tea Powder 500g,6,2025-06-23 00:27:00,140,1572
10084,GR004,Basmati Rice 1kg,1,2025-06-23 00:27:00,120,1572
10085,GR014,Tomatoes 1kg,4,2025-03-05 22:04:00,40,3042
10085,GR008,Wheat Flour 1kg,3,2025-03-05 22:04:00,55,3042
10085,GR015,Salt 1kg,7,2025-03-05 22:04:00,20,3042
10085,GR009,Butter 100g,1,2025-03-05 22:04:00,60,3042
10085,GR005,Sugar 1kg,8,2025-03-05 22:04:00,50,3042
10086,GR004,Basmati Rice 1kg,3,2025-06-17 11:42:00,120,1839
10086,GR013,Onions 1kg,6,2025-06-17 11:42:00,35,1839
10087,GR001,Milk 1L,5,2025-02-01 13:58:00,60,1918
10087,GR009,Butter 100g,1,2025-02-01 13:58:00,60,1918
10087,GR007,Tea Powder 500g,6,2025-02-01 13:58:00,140,1918
10088,GR007,Tea Powder 500g,4,2025-05-25 01:27:00,140,4477
10088,GR015,Salt 1kg,4,2025-05-25 01:27:00,20,4477
10088,GR009,Butter 100g,2,2025-05-25 01:27:00,60,4477
10088,GR010,Yogurt 200g,8,2025-05-25 01:27:00,25,4477
10088,GR013,Onions 1kg,3,2025-05-25 01:27:00,35,4477
10088,GR008,Wheat Flour 1kg,3,2025-05-25 01:27:00,55,4477
10089,GR002,Bread,5,2025-05-27 18:07:00,40,2053
10090,GR014,Tomatoes 1kg,3,2025-06-16 14:20:00,40,2023
10090,GR007,Tea Powder 500g,6,2025-06-16 14:20:00,140,2023
10090,GR010,Yogurt 200g,5,2025-06-16 14:20:00,25,2023
10090,GR006,Sunflower Oil 1L,4,2025-06-16 14:20:00,160,2023
10090,GR003,Eggs Pack (12),5,2025-06-16 14:20:00,90,2023
10091,GR005,Sugar 1kg,4,2025-05-22 07:23:00,50,2907
10091,GR002,Bread,6,2025-05-22 07:23:00,40,2907
10091,GR014,Tomatoes 1kg,5,2025-05-22 07:23:00,40,2907
10091,GR012,Potatoes 1kg,5,2025-05-22 07:23:00,30,2907
10091,GR006,Sunflower Oil 1L,1,2025-05-22 07:23:00,160,2907
10091,GR009,Butter 100g,7,2025-05-22 07:23:00,60,2907
10092,GR007,Tea Powder 500g,7,2025-01-28 03:39:00,140,2489
10092,GR005,Sugar 1kg,4,2025-01-28 03:39:00,50,2489
10092,GR014,Tomatoes 1kg,6,2025-01-28 03:39:00,40,2489
10092,GR009,Butter 100g,4,2025-01-28 03:39:00,60,2489
10092,GR001,Milk 1L,7,2025-01-28 03:39:00,60,2489
10092,GR015,Salt 1kg,3,2025-01-28 03:39:00,20,2489
10093,GR007,Tea Powder 500g,4,2025-03-14 12:49:00,140,4680
10093,GR013,Onions 1kg,6,2025-03-14 12:49:00,35,4680
10093,GR005,Sugar 1kg,8,2025-03-14 12:49:00,50,4680
10093,GR009,Butter 100g,3,2025-03-14 12:49:00,60,4680
10093,GR004,Basmati Rice 1kg,6,2025-03-14 12:49:00,120,4680
10094,GR011,Bananas 1 dozen,3,2025-01-19 01:42:00,50,1321
10094,GR004,Basmati Rice 1kg,3,2025-01-19 01:42:00,120,1321
10094,GR007,Tea Powder 500g,3,2025-01-19 01:42:00,140,1321
10094,GR012,Potatoes 1kg,3,2025-01-19 01:42:00,30,1321
10094,GR008,Wheat Flour 1kg,8,2025-01-19 01:42:00,55,1321
10095,GR015,Salt 1kg,4,2025-02-11 18:00:00,20,4812
10095,GR010,Yogurt 200g,8,2025-02-11 18:00:00,25,4812
10095,GR006,Sunflower Oil 1L,5,2025-02-11 18:00:00,160,4812
10095,GR002,Bread,3,2025-02-11 18:00:00,40,4812
10095,GR013,Onions 1kg,3,2025-02-11 18:00:00,35,4812
10095,GR007,Tea Powder 500g,6,2025-02-11 18:00:00,140,4812
10096,GR002,Bread,5,2025-03-26 17:48:00,40,1432
10096,GR012,Potatoes 1kg,6,2025-03-26 17:48:00,30,1432
10097,GR014,Tomatoes 1kg,8,2025-06-15 11:53:00,40,2546
10097,GR015,Salt 1kg,4,2025-06-15 11:53:00,20,2546
10098,GR006,Sunflower Oil 1L,2,2025-01-15 18:56:00,160,4507
10098,GR011,Bananas 1 dozen,8,2025-01-15 18:56:00,50,4507
10098,GR008,Wheat Flour 1kg,4,2025-01-15 18:56:00,55,4507
10098,GR003,Eggs Pack (12),5,2025-01-15 18:56:00,90,4507
10099,GR012,Potatoes 1kg,7,2025-01-21 19:14:00,30,3788
10099,GR006,Sunflower Oil 1L,1,2025-01-21 19:14:00,160,3788
10100,GR008,Wheat Flour 1kg,3,2025-01-14 17:33:00,55,1533
10100,GR014,Tomatoes 1kg,2,2025-01-14 17:33:00,40,1533
10100,GR005,Sugar 1kg,2,2025-01-14 17:33:00,50,1533
10100,GR009,Butter 100g,7,2025-01-14 17:33:00,60,1533
10100,GR001,Milk 1L,8,2025-01-14 17:33:00,60,1533
10100,GR011,Bananas 1 dozen,1,2025-01-14 17:33:00,50,1533
10101,GR006,Sunflower Oil 1L,6,2025-07-14 04:36:00,160,3283
10101,GR005,Sugar 1kg,3,2025-07-14 04:36:00,50,3283
10101,GR008,Wheat Flour 1kg,1,2025-07-14 04:36:00,55,3283
10102,GR014,Tomatoes 1kg,8,2025-03-19 06:37:00,40,2456
10102,GR005,Sugar 1kg,4,2025-03-19 06:37:00,50,2456
10102,GR008,Wheat Flour 1kg,3,2025-03-19 06:37:00,55,2456
10102,GR002,Bread,5,2025-03-19 06:37:00,40,2456
10102,GR006,Sunflower Oil 1L,2,2025-03-19 06:37:00,160,2456
10103,GR001,Milk 1L,4,2025-03-13 12:33:00,60,3692
